epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.715,1.89004,3.78784,1.72268,0.33228,0.27899,0.21285,0.08973,2.05201,4.07734,1.97989,0.000541419,0.000541419,0.000541419
2,1173.64,2.16259,2.95882,1.9378,0.09852,0.09776,0.04431,0.01543,2.62585,9.31,2.80075,0.00107536,0.00107536,0.00107536
3,1724.62,2.3121,2.94248,2.12853,0.00708,0.05088,0.00177,0.00066,3.37894,140.497,4.24032,0.0015873,0.0015873,0.0015873
4,2281.05,2.42686,3.04696,2.29238,0.5061,0.03659,0.00283,0.00097,3.23009,7.81152,4.1159,0.00156798,0.00156798,0.00156798
5,2834.07,2.48746,3.04904,2.37407,0.18471,0.06747,0.01191,0.00446,3.49926,8.63707,4.51348,0.00153497,0.00153497,0.00153497
6,3390.61,2.40103,2.83533,2.22712,0.6055,0.10366,0.08103,0.03289,2.84841,7.09545,2.88117,0.00150197,0.00150197,0.00150197
7,3969.56,2.38906,2.83236,2.25439,0.20474,0.15454,0.09661,0.03247,2.45234,5.24396,2.64365,0.00146896,0.00146896,0.00146896
8,4570.35,2.37583,2.81464,2.25731,0.62161,0.17218,0.1252,0.04412,2.61523,7.41575,2.64232,0.00143595,0.00143595,0.00143595
9,5107.51,2.30408,2.75666,2.20484,0.24207,0.15264,0.06888,0.02412,2.31631,3.33589,2.31435,0.00140295,0.00140295,0.00140295
10,5861.64,2.20531,2.62758,2.16169,0.76563,0.15244,0.19245,0.07874,2.37686,2.99708,2.33316,0.00136994,0.00136994,0.00136994
11,10635.8,2.13763,2.59312,2.12086,0.23262,0.26659,0.19925,0.07399,2.23519,2.65208,2.24071,0.00133693,0.00133693,0.00133693
12,14024.5,2.10427,2.5266,2.02018,0.2795,0.30278,0.24421,0.09676,2.20664,2.68752,2.19361,0.00130393,0.00130393,0.00130393
13,14596.1,2.13623,2.49513,2.01331,0.41678,0.23001,0.24296,0.09133,2.2943,2.59703,2.27314,0.00127092,0.00127092,0.00127092
14,15168.5,2.02525,2.40604,1.99494,0.4164,0.28319,0.30919,0.12739,2.20876,2.43204,2.19084,0.00123791,0.00123791,0.00123791
15,15731.9,1.94221,2.29917,1.91343,0.34832,0.29348,0.28263,0.1242,2.05676,2.41541,2.10145,0.00120491,0.00120491,0.00120491
16,16322.4,1.97871,2.26939,1.9576,0.52353,0.31327,0.32438,0.13844,2.08637,2.35498,2.16712,0.0011719,0.0011719,0.0011719
17,16932,1.97646,2.24435,1.91322,0.28321,0.29328,0.24471,0.10816,2.09556,2.62633,2.17858,0.00113889,0.00113889,0.00113889
18,18628.3,1.94844,2.21969,1.88903,0.38765,0.32187,0.31949,0.13901,1.99154,2.20431,2.02611,0.00110589,0.00110589,0.00110589
19,24699.1,1.86764,2.16912,1.84511,0.45886,0.29328,0.35121,0.16065,1.97466,2.17682,2.03298,0.00107288,0.00107288,0.00107288
20,28120.7,1.91853,2.12111,1.86887,0.35647,0.36036,0.28749,0.14004,1.94088,2.23125,1.98817,0.00103987,0.00103987,0.00103987
21,30634.9,1.87281,2.07741,1.82003,0.54248,0.37865,0.37941,0.18988,1.87714,2.15956,2.0133,0.00100687,0.00100687,0.00100687
22,35401.2,1.84154,1.99521,1.81543,0.28764,0.32147,0.30047,0.15696,1.93824,2.21602,1.96621,0.000973861,0.000973861,0.000973861
23,38856.1,1.8125,1.96378,1.78139,0.63457,0.32207,0.3945,0.17531,1.99553,2.26469,2.02305,0.000940855,0.000940855,0.000940855
24,42525.9,1.8071,2.00244,1.79723,0.38394,0.38909,0.34041,0.1586,1.97217,2.14096,2.0227,0.000907848,0.000907848,0.000907848
25,46828.3,1.77593,1.92294,1.74645,0.58232,0.41273,0.43499,0.20329,1.91471,1.95924,2.00198,0.000874842,0.000874842,0.000874842
26,51122.5,1.80184,1.85834,1.75732,0.33435,0.30608,0.25848,0.131,2.05956,2.63497,2.07604,0.000841835,0.000841835,0.000841835
27,54113.2,1.74225,1.83428,1.71628,0.40054,0.44842,0.38226,0.18767,1.82915,2.11415,1.92277,0.000808828,0.000808828,0.000808828
28,58578.9,1.67703,1.82704,1.68829,0.43938,0.51319,0.46964,0.22979,1.82012,1.87917,1.86872,0.000775822,0.000775822,0.000775822
29,63194.3,1.66904,1.77785,1.67379,0.52608,0.44301,0.45176,0.22713,1.81371,2.06979,1.87187,0.000742815,0.000742815,0.000742815
30,66123,1.66942,1.72288,1.66907,0.54225,0.46461,0.45479,0.20367,1.89606,1.92608,1.94784,0.000709809,0.000709809,0.000709809
31,70654.1,1.63967,1.68985,1.64612,0.63343,0.42898,0.46736,0.227,1.79659,1.90347,1.861,0.000676802,0.000676802,0.000676802
32,74345.5,1.60663,1.6552,1.61777,0.4924,0.47701,0.44909,0.21994,1.90952,1.98831,2.01192,0.000643795,0.000643795,0.000643795
33,78117.3,1.63337,1.66372,1.64875,0.42111,0.41854,0.41965,0.20739,1.83055,1.95343,1.92773,0.000610789,0.000610789,0.000610789
34,81661.2,1.59459,1.57798,1.61619,0.65798,0.45515,0.47911,0.23444,1.82312,1.88657,1.86942,0.000577782,0.000577782,0.000577782
35,84951.9,1.53016,1.55859,1.57872,0.64836,0.43143,0.4805,0.24459,1.78811,1.89554,1.88427,0.000544776,0.000544776,0.000544776
36,89103.9,1.55275,1.52199,1.58203,0.55383,0.48061,0.49762,0.26106,1.7581,1.7681,1.8328,0.000511769,0.000511769,0.000511769
37,92675.9,1.53197,1.50668,1.55924,0.55678,0.5625,0.49133,0.25382,1.75335,1.77138,1.8534,0.000478762,0.000478762,0.000478762
38,96306.2,1.4751,1.42984,1.53151,0.50277,0.51529,0.47846,0.24249,1.77047,1.7586,1.84961,0.000445756,0.000445756,0.000445756
39,100503,1.46224,1.42301,1.5067,0.53923,0.53394,0.51604,0.26708,1.70199,1.69277,1.81912,0.000412749,0.000412749,0.000412749
40,103862,1.4419,1.40932,1.51711,0.72031,0.42933,0.54735,0.29193,1.6724,1.66539,1.79704,0.000379743,0.000379743,0.000379743
41,108241,1.44653,1.28918,1.55896,0.61573,0.4687,0.48954,0.27127,1.68759,1.75832,1.83521,0.000346736,0.000346736,0.000346736
42,113351,1.37906,1.21519,1.51504,0.5201,0.58087,0.51219,0.28327,1.66619,1.70419,1.81077,0.000313729,0.000313729,0.000313729
43,116818,1.36308,1.1727,1.49225,0.53183,0.57247,0.52491,0.28182,1.62822,1.64564,1.79555,0.000280723,0.000280723,0.000280723
44,120520,1.34523,1.13177,1.50438,0.60314,0.51719,0.54655,0.28412,1.65066,1.5888,1.81136,0.000247716,0.000247716,0.000247716
45,121152,1.28639,1.05669,1.43258,0.57033,0.51319,0.53674,0.29666,1.66642,1.62527,1.82786,0.00021471,0.00021471,0.00021471
46,122566,1.26468,1.055,1.44265,0.53403,0.52959,0.55549,0.30864,1.63777,1.59394,1.82407,0.000181703,0.000181703,0.000181703
47,127840,1.24409,1.02252,1.43341,0.56896,0.48251,0.5411,0.29975,1.63566,1.61854,1.7956,0.000148696,0.000148696,0.000148696
48,131387,1.24411,1.02866,1.41836,0.62566,0.48469,0.54502,0.29617,1.65789,1.65844,1.81644,0.00011569,0.00011569,0.00011569
49,135228,1.22974,0.99063,1.40514,0.60101,0.49074,0.55767,0.31206,1.62779,1.59824,1.78871,8.26832e-05,8.26832e-05,8.26832e-05
50,138568,1.20397,0.98672,1.39236,0.5718,0.54661,0.5567,0.31065,1.62617,1.58654,1.79489,4.96766e-05,4.96766e-05,4.96766e-05
